Licence No.,Interim Licence No.,Approval Name,Status,Status Date,Doc Type,Industry Activity,Specific Activity,Effective Date,Expiry Date,Water Allocation Type,WA Status,Priority Date,Priority No,Source,Quantity (m3),Consumptive Use (m3),Losses (m3),Return Flow (m3),LSD,QUA,SEC,TWP,RNG,MER,Return LSD,Return QUA,Return SEC,Return TWP,Return RNG,Return MER,Well Id,Production Upper (m),Production Lower (m),Latitude,Longitude,Licence Holder,File Number,Surrounding Municipality,Region,River Basin,River Sub Basin,Location Type,Location Description,Water Allocation Id,Submitted Measurement Id,Measurement Value (m3),Measurement Period Date,Reporting Interval,Submitter Comment,Regulator,Sector,Sub Sector,Specific Sector,Adhoc Report
495258,00495258 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00495258,IS,29-May-23,WATDL,WDCOM,CNSTRCTA,16-Jun-23,15-Jun-24,SW,AC,,,Surface Runoff,30000,6000,0,0,,SE,28,109,8,6,,,,,,,,,,58.4859886,-119.2677876,CENOVUS ENERGY INC.,495258,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-28-109-8-6,406857,2957233,0,31-Jan-24,MONTHLY,SE-28-109-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,OIL & GAS PLANT PROCESSING/OIL SANDS UPGRADER/PLANT UTILITY WATER,F
495258,00495258 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00495258,IS,29-May-23,WATDL,WDCOM,CNSTRCTA,16-Jun-23,15-Jun-24,SW,AC,,,Surface Runoff,30000,6000,0,0,,SE,21,109,8,6,,,,,,,,,,58.4767646,-119.2587552,CENOVUS ENERGY INC.,495258,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-21-109-8-6,406858,2957232,0,31-Jan-24,MONTHLY,SE-21-109-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,OIL & GAS PLANT PROCESSING/OIL SANDS UPGRADER/PLANT UTILITY WATER,F
495258,00495258 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00495258,IS,29-May-23,WATDL,WDCOM,CNSTRCTA,16-Jun-23,15-Jun-24,SW,AC,,,Surface Runoff,30000,6000,0,0,,NW,15,109,8,6,,,,,,,,,,58.46480585,-119.2449426,CENOVUS ENERGY INC.,495258,CLGRY,AER|PCR,HAY,07OA,Diversion,NW-15-109-8-6,406859,2957231,0,31-Jan-24,MONTHLY,NW-15-109-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,OIL & GAS PLANT PROCESSING/OIL SANDS UPGRADER/PLANT UTILITY WATER,F
495258,00495258 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00495258,IS,29-May-23,WATDL,WDCOM,CNSTRCTA,16-Jun-23,15-Jun-24,SW,AC,,,Surface Runoff,30000,6000,0,0,,SW,15,109,8,6,,,,,,,,,,58.45827726,-119.2444271,CENOVUS ENERGY INC.,495258,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-15-109-8-6,406860,2957234,0,31-Jan-24,MONTHLY,SW-15-109-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,OIL & GAS PLANT PROCESSING/OIL SANDS UPGRADER/PLANT UTILITY WATER,F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,NE,35,105,8,6,,,,,,,,,,58.16420821,-119.1989632,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-35-105-8-6,411962,2957305,0,31-Jan-24,MONTHLY,NE-35-105-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,SE,35,105,8,6,,,,,,,,,,58.15279776,-119.1985175,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-35-105-8-6,411963,2957311,0,31-Jan-24,MONTHLY,SE-35-105-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,NE,26,105,8,6,,,,,,,,,,58.14639868,-119.1985795,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-26-105-8-6,411964,2957304,0,31-Jan-24,MONTHLY,NE-26-105-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,SE,26,105,8,6,,,,,,,,,,58.13860172,-119.1910442,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-26-105-8-6,411965,2957310,0,31-Jan-24,MONTHLY,SE-26-105-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,NW,24,105,8,6,,,,,,,,,,58.13378421,-119.1809141,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NW-24-105-8-6,411966,2957306,0,31-Jan-24,MONTHLY,NW-24-105-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,NE,14,106,8,6,,,,,,,,,,58.20649355,-119.1983469,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-14-106-8-6,411967,2957301,0,31-Jan-24,MONTHLY,NE-14-106-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,5400,200,0,0,,NE,11,106,8,6,,,,,,,,,,58.19325949,-119.1982336,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-11-106-8-6,411968,2957300,0,31-Jan-24,MONTHLY,NE-11-106-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,5400,200,0,0,,NE,23,106,8,6,,,,,,,,,,58.21977536,-119.1993227,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-23-106-8-6,411969,2957302,0,31-Jan-24,MONTHLY,NE-23-106-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,NW,26,106,8,6,,,,,,,,,,58.23276433,-119.2029723,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NW-26-106-8-6,411970,2957307,0,31-Jan-24,MONTHLY,NW-26-106-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,5400,200,0,0,,NE,24,106,9,6,,,,,,,,,,58.21861064,-119.3306733,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-24-106-9-6,411971,2957303,0,31-Jan-24,MONTHLY,NE-24-106-9-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Surface Runoff,5400,1500,0,0,,SW,25,106,9,6,,,,,,,,,,58.22666306,-119.3428715,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-25-106-9-6,411972,2957312,76,31-Jan-24,MONTHLY,SW-25-106-9-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,5400,200,0,0,,SE,1,108,10,6,,,,,,,,,,58.34030567,-119.5134076,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-1-108-10-6,411973,2957308,0,31-Jan-24,MONTHLY,SE-1-108-10-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Surface Runoff,5400,1500,0,0,,SW,35,106,9,6,,,,,,,,,,58.24468128,-119.3720519,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-35-106-9-6,411974,2957313,0,31-Jan-24,MONTHLY,SW-35-106-9-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499053,00499053 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499053,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,5400,200,0,0,,SE,19,106,9,6,,,,,,,,,,58.21158178,-119.4740874,CENOVUS ENERGY INC.,499053,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-19-106-9-6,411975,2957309,0,31-Jan-24,MONTHLY,SE-19-106-9-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499063,00499063 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499063,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,04-Dec-23,31-Mar-24,SW,AC,,,Chinchaga River,2700,1500,0,0,,NE,22,105,1,6,,,,,,,,,,58.13032865,-118.0658999,CENOVUS ENERGY INC.,499063,CLGRY,AER|PCR,HAY,07OC,Diversion,NE-22-105-1-6,411941,2957314,0,31-Jan-24,MONTHLY,NE-22-105-1-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499063,00499063 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499063,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,04-Dec-23,31-Mar-24,SW,AC,,,Unnamed Stream - Unclassified,2700,200,0,0,,NW,28,104,1,6,,,,,,,,,,58.0580617,-118.1014611,CENOVUS ENERGY INC.,499063,CLGRY,AER|PCR,HAY,07OC,Diversion,NW-28-104-1-6,411942,2957316,0,31-Jan-24,MONTHLY,NW-28-104-1-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499063,00499063 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499063,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,04-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,2700,800,0,0,,SE,16,107,1,6,,,,,,,,,,58.28430927,-118.0973666,CENOVUS ENERGY INC.,499063,CLGRY,AER|PCR,HAY,07OC,Diversion,SE-16-107-1-6,411943,2957317,0,31-Jan-24,MONTHLY,SE-16-107-1-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499063,00499063 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499063,CA,20-Feb-24,WATDL,WDCOM,CNSTRCTA,04-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,2700,200,0,0,,NE,5,105,1,6,,,,,,,,,,58.08944525,-118.1230857,CENOVUS ENERGY INC.,499063,CLGRY,AER|PCR,HAY,07OC,Diversion,NE-5-105-1-6,411944,2957315,0,31-Jan-24,MONTHLY,NE-5-105-1-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499216,00499216 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499216,CA,18-Jan-24,WATDL,WDCOM,CNSTRCTA,02-Dec-23,29-Feb-24,SW,AC,,,Surface Runoff,200,200,0,0,,SE,5,109,7,6,,,,,,,,,,58.42872601,-119.1248279,CENOVUS ENERGY INC.,499216,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-5-109-7-6,412475,2957318,0,31-Jan-24,MONTHLY,SE-5-109-7-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499255,00499255 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499255,IS,06-Dec-23,WATDL,WDCOM,CNSTRCTA,06-Dec-23,31-Mar-24,SW,AC,,,Unnamed Lake - Unclassified,2000,2000,0,0,,NE,18,100,3,6,,,,,,,,,,57.68318644,-118.4707457,CENOVUS ENERGY INC.,499255,CLGRY,AER|PCR,HAY,07OC,Diversion,NE-18-100-3-6,412546,2950979,820,31-Jan-24,MONTHLY,,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499305,00499305 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CONOCOPHILLIPS CANADA RESOURCES CORP. - F00499305,IS,11-Dec-23,WATDL,WDCOM,CNSTRCTA,13-Dec-23,31-Mar-24,SW,AC,,,Surface Runoff,1500,1500,0,0,,SW,20,110,5,6,,,,,,,,,,58.56461562,-118.8027644,CONOCOPHILLIPS CANADA RESOURCES CORP.,499305,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-20-110-5-6,412651,2947196,220,31-Jan-24,MONTHLY,Estimated,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499396,00499396 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00499396,CA,18-Jan-24,WATDL,WDCOM,CNSTRCTA,08-Dec-23,29-Feb-24,SW,AC,,,Surface Runoff,600,600,0,0,,SE,5,109,7,6,,,,,,,,,,58.42872752,-119.1248734,CENOVUS ENERGY INC.,499396,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-5-109-7-6,412851,2957320,0,31-Jan-24,MONTHLY,SE-5-109-7-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
499397,00499397 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/PLAINS MIDSTREAM CANADA ULC - F00499397,CA,15-Dec-23,WATDL,WDCOM,CNSTRCTA,11-Dec-23,30-Apr-24,SW,AC,,,Surface Runoff,500,500,0,0,,SW,11,109,8,6,,,,,,,,,,58.44803117,-119.2232319,PLAINS MIDSTREAM CANADA ULC,499397,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-11-109-8-6,412852,2947573,0,31-Jan-24,MONTHLY,No water was diverted from this location.,AER,INDUSTRIAL,UPSTREAM OIL & GAS,UPSTREAM HYDROSTATIC TESTING & PIPELINE CONSTRUCTION & OPERATION,F
499540,00499540 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/PLAINS MIDSTREAM CANADA ULC - F00499540,CA,09-Feb-24,WATDL,WDCOM,CNSTRCTA,14-Dec-23,30-Apr-24,SW,AC,,,Surface Runoff,500,500,0,0,,SE,4,117,4,6,,,,,,,,,,59.12549509,-118.6100754,PLAINS MIDSTREAM CANADA ULC,499540,CLGRY,AER|PCR,HAY,07OA,Diversion,SE-4-117-4-6,413195,2947513,0,31-Jan-24,MONTHLY,No water was diverted from this location.,AER,INDUSTRIAL,UPSTREAM OIL & GAS,UPSTREAM HYDROSTATIC TESTING & PIPELINE CONSTRUCTION & OPERATION,F
499572,00499572 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/PLAINS MIDSTREAM CANADA ULC - F00499572,CA,09-Feb-24,WATDL,WDCOM,CNSTRCTA,14-Dec-23,30-Apr-24,SW,AC,,,Surface Runoff,500,500,0,0,,SW,11,109,8,6,,,,,,,,,,58.44799063,-119.2233181,PLAINS MIDSTREAM CANADA ULC,499572,CLGRY,AER|PCR,HAY,07OA,Diversion,SW-11-109-8-6,413216,2947543,0,31-Jan-24,MONTHLY,No water was diverted from this location.,AER,INDUSTRIAL,UPSTREAM OIL & GAS,UPSTREAM HYDROSTATIC TESTING & PIPELINE CONSTRUCTION & OPERATION,F
499670,00499670 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CONOCOPHILLIPS CANADA RESOURCES CORP. - F00499670,IS,19-Dec-23,WATDL,WDCOM,CNSTRCTA,20-Dec-23,31-Mar-24,SW,AC,,,Surface Runoff,3000,3000,0,0,,SW,3,126,18,5,,,,,,,,,,59.91303041,-117.0395575,CONOCOPHILLIPS CANADA RESOURCES CORP.,499670,CLGRY,AER|PCR,HAY,07OB,Diversion,SW-3-126-18-5,413332,2947225,1326,31-Jan-24,MONTHLY,Estimated,AER,INDUSTRIAL,UPSTREAM OIL & GAS,DRILLING (CONVENTIONAL & VERTICAL FRACTURING),F
30764,L16547,ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649,IS,21-Nov-94,WRLIC,WDMUN,URBAN,21-Nov-94,,GW,AC,13-Jan-88,19880113003,Unnamed Aquifer - Unclassified,82640,16528,0,66112,8,,15,117,5,6,,NE,6,117,4,6,,11.8,14.3,59.158248,-118.747605,MACKENZIE COUNTY,20649|20649,MD023,PCR,HAY,07OA,Diversion,8 15-117-5-6 (W-93-1),10591,2965436,0,29-Feb-24,MONTHLY,,ESRD,MUNICIPAL,SUBURBAN/RURAL,HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS),F
