Licence No.,Interim Licence No.,Approval Name,Status,Status Date,Doc Type,Industry Activity,Specific Activity,Effective Date,Expiry Date,Water Allocation Type,WA Status,Priority Date,Priority No,Source,Quantity (m3),Consumptive Use (m3),Losses (m3),Return Flow (m3),LSD,QUA,SEC,TWP,RNG,MER,Return LSD,Return QUA,Return SEC,Return TWP,Return RNG,Return MER,Well Id,Production Upper (m),Production Lower (m),Latitude,Longitude,Licence Holder,File Number,Surrounding Municipality,Region,River Basin,River Sub Basin,Location Type,Location Description,Water Allocation Id,Submitted Measurement Id,Measurement Value (m3),Measurement Period Date,Reporting Interval,Submitter Comment,Regulator,Sector,Sub Sector,Specific Sector,Adhoc Report
30764,L16547,ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649,IS,21-Nov-94,WRLIC,WDMUN,URBAN,21-Nov-94,,GW,AC,13-Jan-88,19880113003,Unnamed Aquifer - Unclassified,82640,16528,0,66112,8,,15,117,5,6,,NE,6,117,4,6,,11.8,14.3,59.158248,-118.747605,MACKENZIE COUNTY,20649|20649,MD023,PCR,HAY,07OA,Diversion,8 15-117-5-6 (W-93-1),10591,2948156,0,31-Jan-24,MONTHLY,,ESRD,MUNICIPAL,SUBURBAN/RURAL,HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS),F
30764,L16547,ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649,IS,21-Nov-94,WRLIC,WDMUN,URBAN,21-Nov-94,,GW,AC,13-Jan-88,19880113004,Unnamed Aquifer - Unclassified,82640,0,0,0,8,,15,117,5,6,,NE,6,117,4,6,,11.5,13.1,59.158248,-118.747605,MACKENZIE COUNTY,20649|20649,MD023,PCR,HAY,07OA,Diversion,8 15-117-5-6,10592,2948157,0,31-Jan-24,MONTHLY,,ESRD,MUNICIPAL,SUBURBAN/RURAL,HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS),F
34412,8289,"ESSO RESOURCES CANADA LTD, WR, 16692",IS,13-Dec-88,WRLIC,WDIND,INJECTN,13-Dec-88,,SW,AC,06-Aug-74,19740806002,Sousa Creek,869600,869600,0,0,,NW,3,110,6,6,,,,,,,,,,58.5253,-118.9122,CENOVUS ENERGY INC.,16692,MD023,AER|PCR,HAY,07OA,Diversion,NW 3-110-6-6,14980,2957185,13077.26,31-Jan-24,MONTHLY,NW 3-110-6-6 ,AER,INDUSTRIAL,UPSTREAM OIL & GAS,INJECTION (WATER FLOOD/CONVENTIONAL OIL/ENHANCE OIL RECOVERY),F
37719,L06069,RAINBOW LAKE/GAS PLANT/HUSKY OIL - F12226,IS,16-Aug-89,WRLIC,WDIND,INJECTN,16-Aug-89,,SW,AC,14-Mar-67,19670314001,Rainbow Lake,1850220,1850220,0,0,,NE,8,107,8,6,,,,,,,,,,58.2781,-119.2889,CENOVUS ENERGY INC.,12226,MD023,AER|PCR,HAY,07OA,Diversion,NE 8-107-8-6,18524,2957186,67337.39,31-Jan-24,MONTHLY,NE 8-107-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,INJECTION (WATER FLOOD/CONVENTIONAL OIL/ENHANCE OIL RECOVERY),T
37727,L06425,"MOBIL OIL CANADA, WR, 12218",IS,09-Jan-89,WRLIC,WDIND,INJECTN,09-Jan-89,,SW,AC,20-Nov-72,19721120002,Sousa Creek,863440,370050,0,0,,NW,3,110,6,6,,,,,,,,,,58.5253,-118.9122,CENOVUS ENERGY INC.,12218,MD023,AER|PCR,HAY,07OA,Diversion,NW 3-110-6-6,18532,2957187,0,31-Jan-24,MONTHLY,NW 3-110-6-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,INJECTION (WATER FLOOD/CONVENTIONAL OIL/ENHANCE OIL RECOVERY),F
37727,L06425,"MOBIL OIL CANADA, WR, 12218",IS,09-Jan-89,WRLIC,WDIND,INJECTN,09-Jan-89,,SW,AC,19-Mar-69,19690319003,Sousa Creek,863440,493390,0,0,,NW,3,110,6,6,,,,,,,,,,58.5253,-118.9122,CENOVUS ENERGY INC.,12218,MD023,AER|PCR,HAY,07OA,Diversion,NW 3-110-6-6,166061,2957188,0,31-Jan-24,MONTHLY,NW 3-110-6-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,INJECTION (WATER FLOOD/CONVENTIONAL OIL/ENHANCE OIL RECOVERY),F
203222,00203222 01 00,"RAINBOW LAKE/FACILITY&OFFICE,TANK&TRUCK WASHING/TERVITA CORPORATION",IS,03-Oct-17,WALIC,WDOTHER,SOTHERA,03-Oct-17,02-Oct-27,SW,AC,24-Nov-03,20031124002,Unnamed Stream - Unclassified,25000,25000,0,0,,NE,32,110,5,6,,,,,,,,,,58.598323,-118.788568,SECURE ENERGY SERVICES INC.,202215,MD023|MD023,AER|PCR,HAY,07OA,Diversion,NE 32-110-5-6,128956,2955810,166.595,31-Jan-24,MONTHLY,,AER,INDUSTRIAL,DOWNSTREAM OIL & GAS,WASTE DISPOSAL/REMEDIATION,F
231873,00231873 01 00,RAINBOW LAKE/PROCESSING/TERVITA CORPORATION F00202215,IS,03-Oct-17,WALIC,WDOTHER,SOTHERA,03-Oct-17,02-Oct-27,SW,AC,16-Jun-06,20060616001,Unnamed Stream - Unclassified,17600,13800,3800,0,,NE,32,110,5,6,,,,,,,,,,58.598323,-118.788568,SECURE ENERGY SERVICES INC.,202215,MD023|MD023,AER|PCR,HAY,07OA,Diversion,NE 32-110-5-6,178138,2955811,89.705,31-Jan-24,MONTHLY,,AER,INDUSTRIAL,DOWNSTREAM OIL & GAS,WASTE DISPOSAL/REMEDIATION,F
238144,00238144 00 00,ZAMA CITY/HAMLET/MACKENZIE COUNTY F20649,IS,05-Nov-07,WALIC,WDMUN,URBAN,05-Nov-07,04-Nov-32,GW,AC,05-Mar-07,20070305001,Unnamed Aquifer - Potable,956300,956300,0,0,,SW,16,117,5,6,,,,,,,,16,19,59.158248,-118.790022,MACKENZIE COUNTY,20649|20649,MD023,PCR,HAY,07OA,Diversion,SW 16-117-5-6,183590,2948167,3707.9,31-Jan-24,MONTHLY,,ESRD,MUNICIPAL,SUBURBAN/RURAL,HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS),F
495258,00495258 00 00,NA/CONSTRUCTION RELATED TO OIL&GAS ACTIVITY/CENOVUS ENERGY INC. - F00495258,IS,29-May-23,WATDL,WDCOM,CNSTRCTA,16-Jun-23,15-Jun-24,SW,AC,,,Surface Runoff,30000,6000,0,0,,NE,29,109,8,6,,,,,,,,,,58.49887229,-119.2872024,CENOVUS ENERGY INC.,495258,CLGRY,AER|PCR,HAY,07OA,Diversion,NE-29-109-8-6,406856,2957230,0,31-Jan-24,MONTHLY,NE-29-109-8-6,AER,INDUSTRIAL,UPSTREAM OIL & GAS,OIL & GAS PLANT PROCESSING/OIL SANDS UPGRADER/PLANT UTILITY WATER,F
