"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","SUBURBAN/RURAL",3,3,972828,972828,100,"GW"
"2","UPSTREAM OIL & GAS",0,8,0,28345,0,"GW"
"3",NA,0,1,0,3650,0,"GW"
