"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","DOWNSTREAM OIL & GAS",2,2,42600,42600,100,"SW"
"2","ENVIRONMENTAL",0,1,0,960052,0,"SW"
"3","RECREATION",0,1,0,19720,0,"SW"
"4","UPSTREAM OIL & GAS",5,5,3632590,3632590,100,"SW"
"5","URBAN",0,2,0,602040,0,"SW"
"6","WATER MANAGEMENT",0,2,0,10,0,"SW"
