"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","SUBURBAN/RURAL",3,3,972828,972828,100,"GW"
"2","UPSTREAM OIL & GAS",3,8,23725,28345,83.7008290703828,"GW"
"3",NA,1,1,3650,3650,100,"GW"
