"Licence No.","Interim Licence No.","Approval Name","Status","Status Date","Doc Type","Industry Activity","Specific Activity","Effective Date","Expiry Date","Water Allocation Type","WA Status","Priority Date","Priority No","Source","Quantity (m3)","Consumptive Use (m3)","Losses (m3)","Return Flow (m3)","LSD","QUA","SEC","TWP","RNG","MER","Return LSD","Return QUA","Return SEC","Return TWP","Return RNG","Return MER","Well Id","Production Upper (m)","Production Lower (m)","Latitude","Longitude","Licence Holder","File Number","Surrounding Municipality","Region","River Basin","River Sub Basin","Location Type","Location Description","Water Allocation Id","Submitted Measurement Id","Measurement Value (m3)","Measurement Period Date","Reporting Interval","Submitter Comment","Regulator","Sector","Sub Sector","Specific Sector","Adhoc Report"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2741209","0","31-Jan-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2763171","0","28-Feb-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2776458","0","31-Mar-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2793673","0","30-Apr-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2810386","0","31-May-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2820190","0","30-Jun-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2846803","0","31-Jul-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2857164","0","31-Aug-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2884336","0","30-Sep-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2901011","0","31-Oct-2023","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
