"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","SUBURBAN/RURAL",3,3,972828,972828,100,"GW"
"2","UPSTREAM OIL & GAS",2,8,14600,28345,51.5082025048509,"GW"
"3",NA,1,1,3650,3650,100,"GW"
