"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","SUBURBAN/RURAL",3,3,972828,972828,100,"GW"
"2","UPSTREAM OIL & GAS",4,14,187975,207545,90.5707196029777,"GW"
"3",NA,1,1,3650,3650,100,"GW"
