"","Latitude","Longitude","ACF_value","P_value"
"1",57.9,-127.2,0.346070775723837,0.0432914226181276
"2",57.9,-125.3,0.336144546916571,0.0496551238825627
"3",58,-127.5,0.354044946520927,0.038691513688038
"4",58,-127.4,0.34636272706384,0.0431152033794849
"5",58.1,-127.4,0.357935842987512,0.0366021988806242
"6",58.1,-127.3,0.353587809136115,0.0389435115191614
"7",58.1,-127.2,0.338748280830098,0.0479143204626162
"8",58.1,-126,0.337833519508636,0.0485199748289012
"9",58.1,-125.9,0.339570328806932,0.0473754830525194
"10",58.2,-128.5,0.432424423393992,0.011564848818952
"11",58.2,-128.4,0.432726448836958,0.0115069354885968
"12",58.2,-127.6,0.367965628004359,0.0316547908523312
"13",58.2,-127.5,0.360061945712893,0.0355017015180709
"14",58.2,-127.4,0.359214474061323,0.0359369326869606
"15",58.2,-127.3,0.364764096196515,0.0331676979775646
"16",58.2,-127.2,0.350613693710027,0.0406172702729031
"17",58.3,-129.6,0.380965092710245,0.0261045095166155
"18",58.3,-129.5,0.390901720807157,0.0224493058838688
"19",58.3,-129.3,0.399189972015378,0.0197492452089058
"20",58.3,-129.2,0.390612836458455,0.0225489393827925
"21",58.3,-129.1,0.39737772232194,0.0203140952607458
"22",58.3,-129,0.412451869901942,0.0160172976941688
"23",58.3,-128.9,0.425875513898774,0.0128858425613667
"24",58.3,-128.8,0.424678604885853,0.0131412072577919
"25",58.3,-128.7,0.429788803738189,0.0120813055243306
"26",58.3,-128.6,0.436302904807419,0.0108404671860222
"27",58.3,-128.5,0.44423843077971,0.00948280199263296
"28",58.3,-128.4,0.448470224270258,0.0088226453399185
"29",58.3,-127.5,0.350464104322589,0.0407030420361871
"30",58.3,-127.4,0.337969046788151,0.0484298398975852
"31",58.4,-129.7,0.355213349140331,0.0380537184511887
"32",58.4,-129.5,0.397551768383049,0.0202592427041804
"33",58.4,-129.4,0.404003399931662,0.018315066029682
"34",58.4,-129.3,0.400906174250922,0.0192270249966098
"35",58.4,-129.2,0.393811202733318,0.0214670022122398
"36",58.4,-129.1,0.395303922466583,0.0209777119668265
"37",58.4,-129,0.401582603106095,0.0190245355699863
"38",58.4,-128.9,0.416124314228369,0.0151002194923487
"39",58.4,-128.8,0.426268504461062,0.012802959382026
"40",58.4,-128.7,0.434021602767731,0.0112614979194313
"41",58.4,-128.6,0.438162737366551,0.0105076363372013
"42",58.4,-128.5,0.440584432998527,0.0100878947954006
"43",58.4,-128.4,0.441889693506811,0.00986790923197034
"44",58.4,-127.8,0.413591984046172,0.0157274836076337
"45",58.4,-127.7,0.407140078163583,0.0174303085492888
"46",58.4,-127.6,0.380008741230384,0.0264820411812482
"47",58.4,-127.5,0.335777006344882,0.0499050747022983
"48",58.5,-129.7,0.343497074218417,0.0448713773318771
"49",58.5,-129.6,0.375768217058141,0.0282134027859938
"50",58.5,-129.5,0.385188041710566,0.0244925589965743
"51",58.5,-129.4,0.394307204231991,0.021303329544176
"52",58.5,-129.3,0.405479355368306,0.0178939633660095
"53",58.5,-129.2,0.40213011476372,0.0188620054202148
"54",58.5,-129.1,0.404915513947176,0.0180538202395567
"55",58.5,-129,0.407133576342691,0.0174321030464706
"56",58.5,-128.9,0.410800322301893,0.0164454416092233
"57",58.5,-128.8,0.418707017601712,0.0144832774537549
"58",58.5,-128.7,0.422316210466478,0.0136583973277909
"59",58.5,-128.6,0.425752987416621,0.0129117807554024
"60",58.5,-128.5,0.421412902058102,0.01386085762381
"61",58.5,-128.4,0.420328076446628,0.0141075001995321
"62",58.5,-128.3,0.416874645029411,0.0149186422797665
"63",58.5,-128.2,0.402921269710433,0.0186292947336614
"64",58.5,-128.1,0.406418617715919,0.0176304219908624
"65",58.5,-128,0.401276892956174,0.0191158180386886
"66",58.5,-127.9,0.40596622572313,0.017756927935012
"67",58.5,-127.8,0.398439181575604,0.0199815691433805
"68",58.5,-127.7,0.371595263988192,0.0300115300661962
"69",58.6,-130.5,0.377991608532139,0.0272938224176157
"70",58.6,-130.4,0.372068825264378,0.0298026369521545
"71",58.6,-130.3,0.359376292145565,0.0358534790154628
"72",58.6,-129.6,0.338194334823522,0.0482803191110561
"73",58.6,-129.5,0.354015180147263,0.0387078801784599
"74",58.6,-129.4,0.37174521828755,0.0299452478228915
"75",58.6,-129.3,0.386984516790109,0.0238334161915384
"76",58.6,-129.2,0.402151942672933,0.0188555510016591
"77",58.6,-129.1,0.416037613280515,0.0151213257333114
"78",58.6,-129,0.418732558303744,0.0144772890916598
"79",58.6,-128.9,0.419796033976551,0.0142298732113452
"80",58.6,-128.8,0.419681491963913,0.0142563407594917
"81",58.6,-128.7,0.418772074251072,0.0144680283470663
"82",58.6,-128.6,0.405678171227332,0.0178378927614969
"83",58.6,-128.5,0.39064415937572,0.0225381178575643
"84",58.6,-128.4,0.404474428766018,0.0181797445958695
"85",58.6,-128.3,0.411134731373573,0.0163579471777163
"86",58.6,-128.2,0.404676172471693,0.0181220541430183
"87",58.6,-128.1,0.398548874061722,0.0199474778823369
"88",58.6,-128,0.394910841216922,0.0211056059667142
"89",58.6,-127.9,0.377531245269121,0.0274820734541544
"90",58.6,-127.8,0.36474270596631,0.0331780106516625
"91",58.6,-127.7,0.354884933461757,0.0382320807364945
"92",58.7,-130.6,0.386232113834993,0.0241075832270503
"93",58.7,-130.5,0.392677026435575,0.0218453822829183
"94",58.7,-130.4,0.38094598543047,0.0261120065643013
"95",58.7,-130.3,0.355249423683995,0.0380341695986808
"96",58.7,-130.2,0.341698149283207,0.0460043542571402
"97",58.7,-129.7,0.347384127331705,0.0425034582808252
"98",58.7,-129.6,0.361005783934364,0.0350222811172852
"99",58.7,-129.5,0.362545812470994,0.0342518950544777
"100",58.7,-129.4,0.38327339590365,0.025212392145523
"101",58.7,-129.3,0.3979332985088,0.0201394511699958
"102",58.7,-129.2,0.401193514240019,0.0191407805778592
"103",58.7,-129.1,0.402510755628037,0.0187497280817568
"104",58.7,-129,0.396812568338731,0.0204931042284043
"105",58.7,-128.9,0.407478676557445,0.0173370792551718
