"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","SUBURBAN/RURAL",2,2,972828,972828,100,"GW"
"2","UPSTREAM OIL & GAS",3,9,23725,39295,60.3766382491411,"GW"
"3",NA,1,1,3650,3650,100,"GW"
